,Unnamed: 0,IDC,Prenom,Nom_x,email,adresse,MT_TOT,PMG,RECENCE
0,0,792,Louis,Garcimore,Louis.Garcimore@dtc.de,"Avenue des Schtroumps, 13370 Veliko Curan",14809.0,2. G,2
1,1,227,Mamadou,Pigox,Mamadou.Pigox@yopmail.com,"Boulevard de la girafouine, 50130 Montruc",55479.3,1. TG,0
2,2,2011,Bodgan,Lazare,Bodgan.Lazare@hotme.com,"Hameau du hibours, 1180 Cheapbourg",33.5,4. P,9
3,3,3708,Louis,Bouillave,Louis.Bouillave@hotme.com,"Hameau du hibours, 1180 Montruc",1368.6,4. P,1
4,4,1825,Franck,Testit,Franck.Testit@yopmail.com,"Hameau du hibours, 1180 Montruc",19.0,4. P,10
5,5,1775,Jeanette,Pigox,Jeanette.Pigox@dtc.de,"Boulevard de la girafouine, 50130 Cheapbourg",14.0,4. P,10
6,6,350,Laurent,Testit,Laurent.Testit@hotme.com,"Place des curkas, 50130 Veliko Curan",128.5,4. P,18
7,7,1798,Franck,Garcimore,Franck.Garcimore@minitel.fr,"Hameau du hibours, 1180 Staro Selo",9276.45,3. M,0
8,8,1185,Bodgan,Pavlovic,Bodgan.Pavlovic@youpi.com,"Rue des bananes, 13370 Montruc",333.0,4. P,0
9,9,915,Laurence,Garcimore,Laurence.Garcimore@youpi.com,"Rue des bananes, 1180 Cheapbourg",1745.0,3. M,14
10,10,1612,Mamadou,Maricic,Mamadou.Maricic@yopmail.com,"Hameau du hibours, 50130 Montruc",5437.0,3. M,0
11,11,1471,Jean,Garcimore,Jean.Garcimore@dtc.de,"Rue des bananes, 50130 Montruc",13364.0,2. G,0
12,12,716,Louis,Martin,Louis.Martin@hotme.com,"Avenue des Schtroumps, 50130 Veliko Curan",17899.1,2. G,0
13,13,4254,Laurence,Pavlovic,Laurence.Pavlovic@hotme.com,"Boulevard de la girafouine, 50130 Veliko Curan",3030.0,3. M,0
14,14,1842,Bodgan,Kezman,Bodgan.Kezman@youpi.com,"Rue des bananes, 50130 Cheapbourg",377.0,4. P,1
15,15,175,Jeanette,Pigox,Jeanette.Pigox@minitel.fr,"Boulevard de la girafouine, 50130 Staro Selo",14336.5,2. G,9
16,16,1705,Laurence,Maricic,Laurence.Maricic@dtc.de,"Rue des bananes, 1180 Veliko Curan",10.0,4. P,11
17,17,1602,Mamadou,Maricic,Mamadou.Maricic@yopmail.com,"Avenue des Schtroumps, 1180 Montruc",1455.0,4. P,0
18,18,1271,Mamadou,Pigox,Mamadou.Pigox@youpi.com,"Place des curkas, 1180 Montruc",1057.0,4. P,3
19,19,843,Jean,Testit,Jean.Testit@minitel.fr,"Boulevard de la girafouine, 50130 Staro Selo",6.5,4. P,20
20,20,1719,Jeanette,Kezman,Jeanette.Kezman@dtc.de,"Rue des bananes, 1180 Cheapbourg",781.0,4. P,0
21,21,1510,Josiane,Martin,Josiane.Martin@hotme.com,"Rue des bananes, 1180 Cheapbourg",1331.6,4. P,0
22,22,1865,Laurence,Testit,Laurence.Testit@gjunk.com,"Place des curkas, 1180 Staro Selo",969.5,4. P,10
23,23,1483,Bodgan,Testit,Bodgan.Testit@youpi.com,"Rue des bananes, 13370 Cheapbourg",1111.5,4. P,10
24,24,1698,Laurent,Pavlovic,Laurent.Pavlovic@minitel.fr,"Rue des bananes, 13370 Staro Selo",617.0,4. P,1
25,25,1396,Louis,Maricic,Louis.Maricic@gjunk.com,"Rue des bananes, 1180 Veliko Curan",661.5,4. P,7
26,26,1890,Jean,Maricic,Jean.Maricic@gjunk.com,"Hameau du hibours, 50130 Veliko Curan",63.5,4. P,7
27,27,954,Jeanette,Garcimore,Jeanette.Garcimore@dtc.de,"Hameau du hibours, 1180 Staro Selo",20.0,4. P,22
28,28,1925,Mamadou,Maricic,Mamadou.Maricic@minitel.fr,"Rue des bananes, 13370 Cheapbourg",8.5,4. P,9
29,29,1538,Jeanette,Bouillave,Jeanette.Bouillave@gjunk.com,"Boulevard de la girafouine, 13370 Montruc",555.6,4. P,1
30,30,1056,Mamadou,Pavlovic,Mamadou.Pavlovic@yopmail.com,"Place des curkas, 50130 Veliko Curan",160.0,4. P,17
31,31,1027,Jeanette,Testit,Jeanette.Testit@yopmail.com,"Rue des bananes, 50130 Montruc",36994.5,2. G,0
32,32,1469,Jean,Bouillave,Jean.Bouillave@hotme.com,"Place des curkas, 13370 Staro Selo",11579.5,2. G,0
33,33,1361,Laurence,Cule,Laurence.Cule@youpi.com,"Boulevard de la girafouine, 13370 Staro Selo",2571.5,3. M,0
34,34,731,Josiane,Pavlovic,Josiane.Pavlovic@minitel.fr,"Boulevard de la girafouine, 1180 Montruc",185.5,4. P,19
35,35,1414,Laurent,Maricic,Laurent.Maricic@minitel.fr,"Place des curkas, 50130 Staro Selo",199.0,4. P,10
36,36,2732,Bodgan,Cule,Bodgan.Cule@minitel.fr,"Place des curkas, 1180 Staro Selo",10.0,4. P,6
37,37,153,Josiane,Pavlovic,Josiane.Pavlovic@youpi.com,"Place des curkas, 1180 Veliko Curan",115.0,4. P,13
38,38,1472,Louis,Pavlovic,Louis.Pavlovic@gjunk.com,"Avenue des Schtroumps, 13370 Cheapbourg",31.5,4. P,13
39,39,1038,Bodgan,Bouillave,Bodgan.Bouillave@dtc.de,"Hameau du hibours, 50130 Staro Selo",694.7,4. P,20
40,40,1738,Josiane,Cule,Josiane.Cule@youpi.com,"Place des curkas, 1180 Montruc",34631.0,2. G,0
41,41,958,Louis,Lazare,Louis.Lazare@gjunk.com,"Rue des bananes, 1180 Montruc",1500.7,4. P,2
42,42,1091,Laurence,Bouillave,Laurence.Bouillave@hotme.com,"Hameau du hibours, 13370 Montruc",2566.5,3. M,0
43,43,581,Louis,Martin,Louis.Martin@hotme.com,"Rue des bananes, 1180 Montruc",1207.9,4. P,0
44,44,1697,Marc,Garcimore,Marc.Garcimore@minitel.fr,"Place des curkas, 13370 Montruc",51.0,4. P,11
45,45,1104,Bodgan,Testit,Bodgan.Testit@hotme.com,"Place des curkas, 1180 Montruc",26381.25,2. G,0
46,46,1806,Marc,Testit,Marc.Testit@yopmail.com,"Avenue des Schtroumps, 13370 Veliko Curan",60.5,4. P,10
47,47,1032,Marc,Martin,Marc.Martin@gjunk.com,"Place des curkas, 50130 Montruc",3.5,4. P,20
48,48,1401,Louis,Pavlovic,Louis.Pavlovic@dtc.de,"Avenue des Schtroumps, 13370 Cheapbourg",265366.5,1. TG,0
49,49,840,Josiane,Bouillave,Josiane.Bouillave@youpi.com,"Rue des bananes, 50130 Cheapbourg",75246.0,1. TG,0
50,50,1717,Jeanette,Pigox,Jeanette.Pigox@dtc.de,"Hameau du hibours, 50130 Staro Selo",29.5,4. P,11
51,51,279,Franck,Maricic,Franck.Maricic@youpi.com,"Place des curkas, 13370 Montruc",1914.0,3. M,0
52,52,3306,Mamadou,Bouillave,Mamadou.Bouillave@youpi.com,"Hameau du hibours, 13370 Cheapbourg",11049.5,2. G,0
