,IDC,Prenom,Nom_x,email,adresse
0,792,Louis,Garcimore,Louis.Garcimore@dtc.de,"Avenue des Schtroumps, 13370 Veliko Curan"
1,227,Mamadou,Pigox,Mamadou.Pigox@yopmail.com,"Boulevard de la girafouine, 50130 Montruc"
2,2011,Bodgan,Lazare,Bodgan.Lazare@hotme.com,"Hameau du hibours, 1180 Cheapbourg"
3,3708,Louis,Bouillave,Louis.Bouillave@hotme.com,"Hameau du hibours, 1180 Montruc"
4,1825,Franck,Testit,Franck.Testit@yopmail.com,"Hameau du hibours, 1180 Montruc"
5,1775,Jeanette,Pigox,Jeanette.Pigox@dtc.de,"Boulevard de la girafouine, 50130 Cheapbourg"
6,350,Laurent,Testit,Laurent.Testit@hotme.com,"Place des curkas, 50130 Veliko Curan"
7,1798,Franck,Garcimore,Franck.Garcimore@minitel.fr,"Hameau du hibours, 1180 Staro Selo"
8,1185,Bodgan,Pavlovic,Bodgan.Pavlovic@youpi.com,"Rue des bananes, 13370 Montruc"
9,915,Laurence,Garcimore,Laurence.Garcimore@youpi.com,"Rue des bananes, 1180 Cheapbourg"
10,1612,Mamadou,Maricic,Mamadou.Maricic@yopmail.com,"Hameau du hibours, 50130 Montruc"
11,1471,Jean,Garcimore,Jean.Garcimore@dtc.de,"Rue des bananes, 50130 Montruc"
12,716,Louis,Martin,Louis.Martin@hotme.com,"Avenue des Schtroumps, 50130 Veliko Curan"
13,4254,Laurence,Pavlovic,Laurence.Pavlovic@hotme.com,"Boulevard de la girafouine, 50130 Veliko Curan"
14,1842,Bodgan,Kezman,Bodgan.Kezman@youpi.com,"Rue des bananes, 50130 Cheapbourg"
15,175,Jeanette,Pigox,Jeanette.Pigox@minitel.fr,"Boulevard de la girafouine, 50130 Staro Selo"
16,1705,Laurence,Maricic,Laurence.Maricic@dtc.de,"Rue des bananes, 1180 Veliko Curan"
17,1602,Mamadou,Maricic,Mamadou.Maricic@yopmail.com,"Avenue des Schtroumps, 1180 Montruc"
18,1271,Mamadou,Pigox,Mamadou.Pigox@youpi.com,"Place des curkas, 1180 Montruc"
19,843,Jean,Testit,Jean.Testit@minitel.fr,"Boulevard de la girafouine, 50130 Staro Selo"
20,1719,Jeanette,Kezman,Jeanette.Kezman@dtc.de,"Rue des bananes, 1180 Cheapbourg"
21,1510,Josiane,Martin,Josiane.Martin@hotme.com,"Rue des bananes, 1180 Cheapbourg"
22,1865,Laurence,Testit,Laurence.Testit@gjunk.com,"Place des curkas, 1180 Staro Selo"
23,1483,Bodgan,Testit,Bodgan.Testit@youpi.com,"Rue des bananes, 13370 Cheapbourg"
24,1698,Laurent,Pavlovic,Laurent.Pavlovic@minitel.fr,"Rue des bananes, 13370 Staro Selo"
25,1396,Louis,Maricic,Louis.Maricic@gjunk.com,"Rue des bananes, 1180 Veliko Curan"
26,1890,Jean,Maricic,Jean.Maricic@gjunk.com,"Hameau du hibours, 50130 Veliko Curan"
27,954,Jeanette,Garcimore,Jeanette.Garcimore@dtc.de,"Hameau du hibours, 1180 Staro Selo"
28,1925,Mamadou,Maricic,Mamadou.Maricic@minitel.fr,"Rue des bananes, 13370 Cheapbourg"
29,1538,Jeanette,Bouillave,Jeanette.Bouillave@gjunk.com,"Boulevard de la girafouine, 13370 Montruc"
30,1056,Mamadou,Pavlovic,Mamadou.Pavlovic@yopmail.com,"Place des curkas, 50130 Veliko Curan"
31,1027,Jeanette,Testit,Jeanette.Testit@yopmail.com,"Rue des bananes, 50130 Montruc"
32,1469,Jean,Bouillave,Jean.Bouillave@hotme.com,"Place des curkas, 13370 Staro Selo"
33,1361,Laurence,Cule,Laurence.Cule@youpi.com,"Boulevard de la girafouine, 13370 Staro Selo"
34,731,Josiane,Pavlovic,Josiane.Pavlovic@minitel.fr,"Boulevard de la girafouine, 1180 Montruc"
35,1414,Laurent,Maricic,Laurent.Maricic@minitel.fr,"Place des curkas, 50130 Staro Selo"
